wallet,num_deposits,total_deposit_usd,num_borrows,total_borrow_usd,num_repays,total_repay_usd,repay_to_borrow_ratio,num_liquidations,num_redeems,total_redeem_usd,avg_txn_interval_days,active_days,asset_diversity,total_tx_count,cluster,credit_score
0x00000000001accfa9cef68cf5371a23025b6d4b6,1,1987663654.8592715,0,0.0,0,0.0,0.0,0,0,0.0,0.0,1,1,1,1,400
0x000000000051d07a4fb3bd10121a343d85818da6,1,2.8569448036149268e+20,0,0.0,0,0.0,0.0,0,0,0.0,0.0,1,1,1,1,400
0x000000000096026fb41fc39f9875d164bd82e2dc,2,5152310624158186.0,0,0.0,0,0.0,0.0,0,0,0.0,7.574131944444445,2,1,2,1,400
0x0000000000e189dd664b9ab08a33c4839953852c,0,0.0,0,0.0,0,0.0,0.0,0,17,9.803600316664595e+20,8.082985387731481,8,4,17,1,400
0x0000000002032370b971dabd36d72f3e5a7bf1ee,250,2.0657733084285235e+23,15,6.029762086214079e+22,4,70150263790.74077,1.1634001937012771e-12,0,130,1.1287452027976198e+23,0.33383392657733113,104,6,399,3,800
0x000000000a38444e0a6e37d3b630d7e855a7cb13,7,1.8390665686010514e+22,8,11631431210.321323,5,11640280239.622173,1.0007607859377612,0,5,4.6174154278630436e+21,1.636673900462963,15,5,25,0,200
0x000000003853fcedcd0355fec98ca3192833f00b,8,7.637631560497202e+16,0,0.0,0,0.0,0.0,0,0,0.0,1.1270287698412698,4,7,8,0,200
0x000000003ce0cf2c037493b1dc087204bd7f713e,309,4.5858619827629084e+23,30,1.3241576090263831e+23,16,3.398128730609447e+20,0.0025662569979928583,0,137,2.995389076276757e+23,0.2515305593271479,108,7,492,3,800
0x000000007858e6f2668e1e06111cfa24403a5466,1,1.4216066648145406e+17,0,0.0,0,0.0,0.0,0,0,0.0,0.0,1,1,1,1,400
0x00000001a0f57e850c9db68b4a9bc34677437c5c,1,1766652.5037857387,0,0.0,0,0.0,0.0,0,0,0.0,0.0,1,1,1,1,400
0x0000000506063a51c6ce59906d8c40f7d7fe92a7,26,7.999916941682947e+23,24,5.975019617796154e+23,9,5.975686798284461e+23,1.0001116616397911,0,10,8.010729370227363e+23,0.45082635484749456,3,1,69,0,200
0x00000029ff545c86524ade7caf132527707948c4,12,3.2546605034654667e+24,12,1.759512594809414e+24,12,1.743593934185973e+24,0.9909528009799978,0,11,3.233387269617574e+24,0.04575030193236715,2,4,47,0,200
0x00000087c4cebffb95746d1935de7fbcab092f40,86,2.2169199416626406e+22,62,2.3164201034194218e+22,45,1.1991513226122326e+21,0.05176743721236427,0,57,3.8536807806854195e+18,0.40364369515097426,19,8,250,3,800
0x000000e28faa823d5b53ff6c2922c28335840375,107,3.134059613762207e+24,66,2.559678839221801e+24,63,1.852344056814564e+24,0.7236626831582191,0,61,2.595897731743287e+24,0.46353380724474474,61,7,297,3,800
0x000006eee6e39015cb523aebdd4d0b1855aba682,11,4.284915292921578e+22,4,2.300705925998673e+22,1,2.3151274780815503e+22,1.0062683161371948,3,9,5.0131143487608135e+22,1.5294230109739368,12,7,28,0,200
0x00000a9c78912badb92d73b6ed26456e11def5eb,1,1692754.3127773313,0,0.0,0,0.0,0.0,0,0,0.0,0.0,1,1,1,1,400
0x00001bc47f0973f794f79c16121cee879e272d6a,0,0.0,0,0.0,0,0.0,0.0,0,4,53501440123.14357,15.66809799382716,4,2,4,1,400
0x00002b503a75998c97508916a74fdb41934fa030,27,2.2937294172388546e+24,47,6.178981819947751e+23,45,4.271477856461843e+23,0.6912915397601804,0,28,1.5775225802578294e+24,0.8583667078893962,35,7,147,3,800
0x0000897253cc85f7547317eb2080b36b3255687a,1,4.6618576206638966e+20,0,0.0,0,0.0,0.0,0,1,4.6553240002876506e+20,3.5146064814814815,2,1,2,1,400
0x0000b252c943089fbba5554a1d196ef79bc77e4f,1,1116218.296466259,0,0.0,0,0.0,0.0,0,0,0.0,0.0,1,1,1,1,400
